calories;proteins;fat;carbohydrate;name
280;9.2;28.4;0;Abon
513;23.7;37;21.3;Abon haruwan
0;0;0.2;0;Agar-agar
45;1.1;0.4;10.8;Akar tonjong segar
37;4.4;0.5;3.8;Aletoge segar
85;0.9;6.5;7.7;Alpukat segar
96;3.7;0.6;19.1;Ampas kacang hijau
414;26.6;18.3;41.3;Ampas Tahu
75;4.1;2.1;10.7;Ampas tahu kukus
67;5;2.1;8.1;Ampas tahu mentah
184;18.8;14;0;Anak sapi daging gemuk segar
174;19.6;10;0;Anak sapi daging kurus segar
190;19.1;12;0;Anak sapi daging sedang segar
99;4.6;1;18;Andaliman segar
25;1.6;0.2;5.3;Andewi
30;0.5;0.2;6.8;Anggur hutan segar
354;16.4;31.5;0;Angsa
126;3.4;7.9;10.3;Anyang sayur
58;0.3;0.4;14.9;Apel
57;0.5;0.4;12.8;Apel malang segar
37;0.8;0.5;8.3;Arbei
113;0.9;7.2;11.2;Ares sayur
102;1;0.2;24.1;Arrowroot segar
277;2.4;25;10.7;Arwan sirsir
75;0.2;1.1;16.1;Asam kandis segar
239;2.8;0.6;62.5;Asam masak di pohon
135;0.8;0.4;32.1;Asam payak segar
261;0.9;1.6;63.3;Asan kandis kering
98;3.9;2.6;14.8;Asinan Bogor sayuran
302;18.2;25;0;Ayam
297;35.9;15.2;1.6;Ayam  goreng Kentuckysayap
270;32.3;11.2;9.9;Ayam ampela goreng
75;13.8;1.9;0.7;Ayam dideh/darah segar
295;34;16;1.5;Ayam goreng church texa sayap
338;35.2;20.6;0.4;Ayam goreng church texas dada
275;37.4;12.2;1.3;Ayam goreng kalasan paha
298;34.2;16.8;0.1;Ayam goreng kentucky dada
286;32.1;16.1;1.1;Ayam goreng Kentucky paha
295;39.2;13.6;1;Ayam goreng mbok berek dada
287;31;15.7;1.7;Ayam goreng paha
246;37.9;9;0.7;Ayam goreng pasundan dada
245;33.1;11.4;0.3;Ayam goreng pasundan paha
295;37.4;14.7;0.6;Ayam goreng pioneer dada
244;36.7;9.2;1;Ayam goreng sukabumi dada
283;35.7;14.3;0.5;Ayam goreng sukabumi paha
261;27.4;16.1;1.6;Ayam hati segar
264;18.2;20.1;2.7;Ayam taliwang masakan
473;45.2;26.3;13.9;Ayam usus goreng
113;17.6;4.2;0;Babat
453;11.9;45;0;Babi daging gemuk segar
371;14.1;35;0;Babi daging kurus segar
110;16.3;4.6;0.8;Babi ginjal segar
129;19.7;4.8;1.7;Babi hati segar
491;24.6;16.3;0.2;Babi hutan masak rica masakan
102.9;3.3;2.7;16.3;Bacang
450;3.2;13.9;78.1;Bagea kelapa asin
452;1.3;13.8;80.6;Bagea kelapa manis
529;3.2;29.1;63.6;Bagea kenari asin
523;3.2;28.2;64.2;Bagea kenari manis
416;6.5;9.4;76.3;Bagea kw 1
382;0.3;3.5;87.2;Bagea kw 2
129;1.9;6.6;15.6;Baje
272;8.7;6.7;44.1;Bakpia kue
76;4.1;2.5;9.2;Bakso 
27;2;0.2;4.2;Bakung segar
280;8.2;10.2;39;Bakwan
13;0.4;0.2;3;Baligo
190;3.3;0.3;43.5;Bantal
159;3.1;5.8;23.5;Barongko
